"refNo","collectDate","subjEmail","cenTract","ageRange","score"
10000107,"8/25/2015","nibh.Quisque@eratEtiam.org",55920,20,159
10000107,"7/22/2015","nulla.ante@etarcuimperdiet.com",58373,17,22
10000108,"7/28/2015","augue@nisl.net",8969,50,149
10000108,"12/31/2015","dictum@lacus.com",14882,60,167
10000108,"12/9/2015","faucibus@laoreetposuere.com",28506,30,146
10000108,"9/1/2016","Nam.tempor@rhoncus.com",51601,50,256
10000108,"7/16/2015","Nullam@tortordictumeu.org",60480,40,228
10000108,"9/11/2016","sociosqu.ad.litora@veliteusem.com",81870,20,100
10000108,"8/15/2015","vitae.posuere@lacusvarius.edu",97677,17,257
10000109,"10/12/2015","diam.at.pretium@ante.net",13868,65,19
10000109,"12/27/2015","est.Nunc.laoreet@sapienNunc.com",24353,40,80
10000109,"12/21/2016","lorem.ac.risus@Quisque.com",41516,40,393
10000109,"3/27/2015","mauris@aaliquetvel.com",47251,30,98
10000109,"1/24/2016","neque.sed.dictum@ametluctusvulputate.edu",54690,65,49
10000109,"2/23/2016","Nunc@necurna.com",62258,65,325
10000109,"7/20/2015","quis.diam@Aliquamauctorvelit.net",70953,17,65
